,name,description,ingredients,steps
2050,ratatouille pizza,"ratatouille pizza with zucchini, yellow zucchini, japanese eggplant, pizza dough, cornmeal, pesto, shredded mozzarella cheese, roma tomatoes, red onion, olive oil, salt, freshly ground pepper, fresh goat cheese, flat leaf parsley, warm water, sugar, active dry yeast, all purpose flour, coarse salt","1.0 zucchini, 1.0 yellow zucchini, 1.0 japanese eggplant, 1.0 pizza dough, cornmeal, 3.0 tablespoon pesto, 0.8 cup shredded mozzarella cheese, 2.0 roma tomatoes, 2.0 tablespoon red onion, 1.0 tablespoon olive oil, salt, freshly ground pepper, 2.0 ounce fresh goat cheese, flat leaf parsley, 0.5 cup warm water, 0.5 teaspoon sugar, 0.5 teaspoon active dry yeast, 1.5 cup all purpose flour, 0.5 teaspoon coarse salt","preheat the oven to 500degf . wash the zucchinis and eggplant and slice the tips and tails off . use the small core slice tool on the kitchenaid spiralizer to spiralize . the vegetables will spiralize into an accordion shape . to cut into slices, take your knife and make a cut from the center hole to the outside edge of the vegetable . alternatively, to make slices, when prepping your vegetables, slice the vegetable lengthwise, halfway through the vegetable, just until the center, being sure not to cut all the way through . lightly oil and dust a baking sheet with corn meal . shape the pizza dough in the pan, using a rolling pin to shape into a large 12 inch round . spread a thin layer of pesto on the dough and sprinkle on the shredded mozzarella . arrange the peppers, eggplant, tomatoes and zucchini in overlapping, concentric circles . sprinkle on the onions, top with a drizzle of olive oil, and a generous amount of salt and pepper . dot with the fresh goat cheese . place in the oven to bake for 15 20 minutes, or until the vegetables are tender and the crust is puffy, crisp and slightly blistered . top fresh parsley . slice and enjoy . for homemade thin crust pizza dough stir together the sugar and water . sprinkle on the yeast and let proof for 10 minutes there should be tiny bubbles on the surface . add the salt and flour to the bowl and using the dough hook, knead until it just comes together . when the dough comes together in a ball, cover with plastic wrap and set aside while you spiralize the vegetables, about 30 minutes . note you most likely will end up with extra spiralized vegetables . chop them up and use them in an omelette or make another pizza"
6078,sufganiyot,"learn all the secrets for how to make scrumptious jelly filled yeast donuts for hanukkah, a holiday tradition from israel.","1 packet active dry yeast, 3/4 cup lukewarm water or milk, 1/4 cup white granulated sugar, 1/4 cup canola oil, 2 large eggs, 3/4 tsp vanilla extract, 18 ounces unbleached all purpose flour, 1 tsp salt, 1 tbsp vodka, , 1 1/4 cup fruit jelly or jam, 3 pints oil with high smoke point for frying, 1/2 cup powdered sugar for dusting","pour active dry yeast into a small mixing bowl with 1/4 cup of the lukewarm water or milk and 1 tbsp of the sugar, whisk together to dissolve the yeast and sugar . wait 10 minutes . the yeast should activate during this time, making it look expanded and foamy . if it doesn't, your yeast may have expired make sure you work with fresh yeast before proceeding, or the dough won't rise . if yeast is foamy, whisk in the remaining 1/2 cup of lukewarm water or milk, remaining 3 tbsp granulated sugar, 1/4 cup canola oil, 2 large eggs, and 3/4 tsp vanilla extract . set aside . fit your stand mixer with the dough attachment . in your mixer bowl, sift together 18 ounces of flour and 1 tsp salt so they are well mixed . pour in the wet ingredients yeast mixture . set stand mixer to low speed and mix the wet ingredients together with the dry for 10 full minutes, until a very sticky dough forms . the dough will come together, but will stick to the bottom of the mixing bowl . if the dough seems dry, add a little more water, a tablespoon at a time, until the texture becomes sticky . alternatively, if the dough seems too wet, add a little more flour . add 1 tbsp of liquor vodka, brandy, ouzo or arak and continue to process on low for 2 3 additional minutes until the dough comes together again it should look sticky but not overly wet . at first, after adding the liquor, it may seem very wet don't worry, it should continue to come together after 2 3 minutes and return to a more sticky, doughy texture . grease a large mixing bowl with a little of the cooking oil, then scoop the sticky dough into the bowl . cover with a clean slightly damp tea towel and let the dough rise for roughly 2 hours until it doubles in size . it may take even longer than 2 hours go by the size . it should really double in size and look big and poofy.lightly flour a baking sheet and set to the side . flour a solid flat surface like a cutting board large enough for rolling out the dough . take the dough out of the bowl, place it on the floured surface, and flour the top of the dough as well . use a rolling pin to gently roll the dough out into a rough circle about 1/2 inch thick . proceed carefully, as you can easily roll it too thin . it should be gently stretched . make sure you use plenty of flour on top and bottom, loosening the dough as you roll to keep it from sticking . dip your circular cookie cutter in flour lightly, then starting at the outer edge of the dough, cut a circle by pushing down firmly and twisting slightly . as each circle is cut, remove it from the larger dough circle, scoop it up with a small spatula, and place it gently on the prepared floured baking sheet . when the dough has no room for circles left, re roll it to 1/2 inch thickness and cut circles again, repeating the process until you've cut as many circles as you can from the dough . lightly dust the tops of the circles with flour . cover the circles gently with a clean dry tea towel and let them rise for about 45 minutes longer . while sufganiyot are rising, add roughly 1 1/4 cups of strawberry jam to a squeeze bottle . if your jam has chunks of fruit or seeds in it, you will want to run it through a strainer before adding it to the bottle to ensure it squeezes smoothly into the sufganiyot . if straining the jam, you'll need roughly double the amount 2 1/2 cups to end up with the proper amount of strained jam . in a 5 quart saute pan or 6 quart pot, heat frying oil to 325 degrees f, using a candy thermometer to measure the heat . be careful not to let the oil get hotter than this or you run the risk of cooking the outside of the sufganiyot while the inside remains raw . the oil should be bubbling very lightly when the sufganiyot are added.using a small spatula or flat knife, transfer the circles one at a time into the hot oil, flipping them gently as you place them in the oil so that the puffy top side is facing downward into the oil . transfer up to 4 circles at a time into the oil . let them fry for about 90 seconds, or until golden brown on the bottom . gently flip them to continue frying on the other side for another 90 seconds roughly 3 minutes total, until the sufganiyot are nicely browned on both sides . if your oil cools a bit it may take slightly longer.transfer cooked sufganiyot to a wire rack or a parchment lined baking sheet to drain of oil . continue frying in batches of 4 until all of the sufganiyot are cooked . wait until the sufganiyot have cooled slightly before starting the filling process they can still be somewhat warm, but should not be hot . use a straw to tunnel into each sufganiyot, creating a narrow hollow hole in the top center of the pastry . use the squeeze bottle to squeeze jam into the center of each sufganiyot, just until the jam slightly overflows the hole in the center . dust with sugar just prior to serving . pour powdered sugar into a mesh strainer . gently dust each sufganiyot with powdered sugar, coating with a nice layer of white sugar . the jam dots in the center will soak up the sugar, leaving you with a pretty dollop of red jam in a couple of minutes . serve . sufganiyot are best served fresh the powdered sugar will soak into the doughnut over time, and it will appear soggy . you can also freeze the sufganiyot if you do, freeze them after the frying step before filling . when ready to serve, defrost completely, fill with jelly and dust with powdered sugar before serving . here is what they look like inside, in case you're curious... one reader was."
191,grilled pizzas with herbed pork and brussels sprouts,"grilled pizzas with herbed pork and brussels sprouts with boneless pork chops, extra virgin olive oil, fresh oregano, garlic, salt, pepper, pizza doughs, fontina, parmesan cheese, fresh oregano, hot red pepper flakes, balsamic reduction, flour, instant yeast, sugar, salt, extra virgin olive oil, cold water, extra virgin olive oil, brussels sprouts, salt, pepper","1.0 pound boneless pork chops, 2.0 tablespoon extra virgin olive oil, 2.0 tablespoon fresh oregano, 2.0 clove garlic, 0.5 teaspoon salt, 0.5 teaspoon pepper, pizza doughs, 3.0 cup fontina, 6.0 tablespoon parmesan cheese, fresh oregano, hot red pepper flakes, balsamic reduction, 3.0 cup flour, 2.2 teaspoon instant yeast, 1.0 teaspoon sugar, 1.0 teaspoon salt, 2.0 tablespoon extra virgin olive oil, 1.0 cup cold water, 1.0 tablespoon extra virgin olive oil, 12.0 ounce brussels sprouts, 0.5 teaspoon salt, 0.2 teaspoon pepper","to make homemade pizza dough pulse flour, yeast, sugar and salt in food processor to combine . add oil.with machine running, gradually add enough water through feed tube until dough forms a rough ball that rides on top of blade . feel dough, and add 1 tablespoon flour if too wet, or 1 tablespoon water if too dry . process for 45 seconds to knead dough . to make by hand combine water, oil, yeast, sugar and salt in large bowl.gradually stir in enough flour to make a stiff, sticky dough.turn out onto floured work surface and knead, adding more flour as needed, until dough is soft, supple and slightly sticky, 8 to 10 minutes . gather dough into a ball.place in oiled medium bowl and turn to lightly coat with oil.cover with plastic wrap and let stand in a warm place until doubled, about 1 1/4 hours . if desired, let covered dough rise in refrigerator for 16 to 24 hours.bring to room temperature before using . to marinate pork combine oil, oregano, garlic, salt, and pepper in one gallon sealable plastic bag.add pork, close bag, and coat with marinade.refrigerate for 1 to 2 hours.let stand at room temperature for 15 minutes before grilling . to cook brussels sprouts heat oil in large skillet over high heat.add brussels sprouts and cook, stirring often, until lightly browned, about 4 minutes.add 2 tablespoons water and cook until crisp tender, about 2 minutes more . season with salt and pepper.transfer to bowl and let cool . prepare outdoor grill for direct cooking with medium high heat about 400 degrees f . .brush grill grates clean.remove pork from marinade, shaking off excess oil.grill, with grill lid closed, turning once, until the internal temperature reads between 145 degrees f . medium rare to 160 degrees f . medium on a digital meat thermometer, 6 to 8 minutes.transfer to carving board and let cool . chop pork into a 1/2 inch dice and transfer to a bowl . to grill pizzas cut 5 squares of parchment paper about 9 inches square each . punch down dough and cut into four equal pieces . shape dough into balls, place on work surface, loosely cover with plastic wrap, and let stand 10 minutes.on very lightly floured work surface, roll and stretch each dough portion into 7 to 8 inch rounds makes 4 pizzas . place each round on a parchment square.stack rounds on paper on large baking sheet.loosely cover with plastic wrap . brush grill grate clean . in batches if necessary, transfer dough rounds from parchment onto grill, discarding parchment.grill, with the lid closed, occasionally rotating rounds, until underside is seared with grill marks, 2 to 3 minutes.adjust heat as needed do not burn the dough flip dough rounds and top with one quarter each of brussels sprouts and pork, followed by the fontina and parmesan cheese.cover and continue cooking with the lid closed, occasionally rotating dough rounds so they don't stick, until undersides are golden brown, 3 to 4 minutes more . remove from grill.sprinkle with oregano and red pepper flakes, drizzle with balsamic glaze, if using, and serve immediately."
925,roasted summer vegetable pasta,"is your late summer garden or farmers' market overflowing with squash, tomatoes, and basil well, you're in luck this recipe celebrates the season's bounty with roasted vegetables and cavatelli pasta . cavatelli are small pasta shells shaped like mini hot dog buns whose little crevices are ideal for capturing the juices from the roasted vegetables . we designed the roasted vegetables especially for our basic egg pasta dough shaped into cavatelli, but it would be delicious over store bought pasta as well . the recipe, which makes 11 cups sauce, uses two sheet pans to allow the vegetables to spread out, get tender, and develop good roasted flavor . they're seasoned with a little pesto feel free to use extra for more flavor if you like . ricotta salata is a salty and tangy cheese perfect for crumbling into this pasta dish, but if you can't find it, crumbled feta is a great substitute . the recipe is a yummly original created by ashley strickland freeman https //www.yummly.com/dish/author/ashley strickland freeman .","cooking oil spray, 1.0 eggplant, 1.0 pint grape tomatoes, 1.0 red onion, 2.0 tablespoon extra virgin olive oil, 0.5 teaspoon salt, 0.5 teaspoon freshly ground black pepper, 2.0 zucchini, 1.0 yellow summer squash, 0.2 cup pesto, cavatelli, 0.5 cup chopped fresh basil leaves, 1.0 tablespoon fresh lemon juice, 4.0 ounce ricotta salata","preheat the oven to 425deg . coat 2 large sheet pans with cooking spray or vegetable oil . in a large bowl, toss together the eggplant, tomatoes, and onion with the olive oil, salt, and pepper and divide evenly between the sheet pans . bake for 15 minutes . add the zucchini, yellow squash, and pesto to the vegetables, stirring to coat . roast until the vegetables are tender, 10 15 minutes longer . while the vegetables finish roasting, cook pasta according to recipe directions . drain, saving a few tablespoons of pasta water . return the pasta to the cooking pot and add the roasted vegetables, basil, and lemon juice . gently toss in ricotta salata and season to taste with more salt, pepper, and lemon . top with additional basil, if you like."
885,very fancy sandwiches,"chef louise mellor shares how to make simple, vintage fancy sandwiches for your next soiree . from wartime american home magazine.","8 slices dark rye bread, 8 slices light rye bread, 1 stick salted butter, 1 tsp dried dill, 1 tbsp mayonnaise","for best results have on hand day old bread, butter that has been creamed or softened with mayonnaise, dill, and a sharp knife for slicing and trimming bread . trim crust off dark and white bread and cut in long slices . put three slices of bread together with two light slices and a dark slice in between . reverse procedure with another three slices, this time with dark slices on the the top and bottom and a light one in between . butter the layered slices on one side . fit the slices together in the order named, pressing firmly . spread these slices with butter . fit slices of two sets to form two checkerboard loaves . wrap in a dampened cloth and chill until firm . when sandwiches are chilled firm, remove from refrigerator . cut checkerboard sandwiches 1/4"" 1/2"" thick to give them a dainty party look . arrange sandwiches on a fancy tray cover with a damp cloth and place in refrigerator until your guests arrive."
1438,pumpkin pudding from miss leslie's complete cookery,lincoln was the first president to declare thanksgiving a national holiday . read the history and learn a historical recipe for pumpkin pudding from lincoln's lifetime.,"1 pint heavy whipping cream, 1 cup sugar, 1 pint pumpkin puree cooked or canned, 8 large eggs, beaten till frothy, 2 tbsp rosewater, 2 tbsp white wine, 1/2 tsp nutmeg, 1/2 tsp cinnamon, 1/2 tsp mace, butter for greasing the dish, 1 1/2 pints heavy whipping cream, 1 1/2 tbsp cornstarch, 1/2 cup powdered sugar, 2 tsp nutmeg, 1 1/2 tsp almond extract","preheat oven to 350 degrees f . in a large mixing bowl, whisk together the cream and sugar . gradually add the pumpkin puree and beaten eggs alternately by the cupful, beating after each addition . whisk in the rosewater, wine, nutmeg, cinnamon and mace till well blended and smooth . grease a 2 qt . dish with butter . pour the pumpkin batter into the dish . bake the pudding for 85 95 minutes till the center no longer wobbles . remove from heat and allow to cool . the surface may crack a bit as it cools don't worry, it's part of the charm.serve pudding at room temperature or cold, topped with sweetened fresh whipping cream or a sweet cream sauce."
4744,raw carrot cake,"raw carrot cake with shredded carrot, pitted dates, walnuts, unsweetened shredded coconut, cinnamon, grated nutmeg, salt, salt","2.5 cup shredded carrot, 1.0 cup pitted dates, 1.0 cup walnuts, 0.5 cup unsweetened shredded coconut, 1.0 teaspoon cinnamon, 0.1 teaspoon grated nutmeg, 1.0 pinch salt, 1.0 pinch salt","in a processor, mix carrots, dates, walnuts, coconut, cinnamon, nutmeg and salt . fill with 8x8 cake pan lined with parchment paper . chill in fridge . process cream ingredients until very smooth . pour cream on top of cake and freeze for 2 hours . let it thaw for 10 mins before slicing with sharp/hot knife . top with walnuts and cinnamon."
2544,hearty italian beef and vegetable soup,"lean ground beef, lots of veggies, and cannellini beans combine to make a satisfying and healthy soup that comes together fast . we added tender swiss chard at the end for a shot of green, but you could substitute lacinato kale or spinach instead . serve the soup sprinkled with parmesan cheese, and offer garlic bread on the side . the recipe is a yummly original created by ivy manning https //www.yummly.com/dish/author/ivy manning .","1.0 medium onion, 3.0 garlic cloves, 2.0 large carrots, 2.0 celery stalks, 1.0 pound lean ground beef, 2.0 tablespoon tomato paste, 2.0 teaspoon italian seasoning, 3.0 cup beef broth, 1.0 can fire roasted diced tomatoes, 1.0 can cannellini beans, 0.2 crushed red pepper flakes, 8.0 ounce swiss chard, 0.5 teaspoon salt, 0.2 teaspoon pepper, 0.5 cup grated parmesan cheese","chop onion and garlic . peel and chop carrots, and chop celery . set carrots and celery aside . saute beef and onion in a dutch oven over medium high heat, stirring frequently to break up meat, until beef is cooked through and onion is translucent, 6 minutes . add tomato paste, garlic, and italian seasoning and cook, stirring constantly, until fragrant, 45 seconds . pro tip use lean ground beef so the soup won't be greasy . add broth, tomatoes, carrots, and celery to pot . rinse and drain cannellini beans and stir them into pot . bring soup to a simmer over high heat, cover, reduce heat to low, and simmer until vegetables are tender, 15 minutes . meanwhile, prepare chard . strip chard leaves from center ribs with your fingers, and reserve ribs for another use . coarsely chop leaves . stir chopped chard into soup and simmer, uncovered, until tender, about 5 minutes . remove soup from heat . season to taste with salt and pepper . ladle into bowls and serve with parmesan . cooled soup can be refrigerated up to 3 days."
5638,macaroni tradizionale met ham en kaas,deze italiaanse traditionele macaroni tradizionale met ham en kaas is een fijn pasta recept met de traditioneel toscaanse pastasaus van bertolli.,"500.0 gram pasta, 3.0 uien, 3.0 tablespoon olijfolie, 300.0 gram hamblokjes, 1.0 bag bertolli pastasaus traditioneel toscaans, 150.0 gram kaas",kook de bertolli pasta macaroni volgens de aanwijzingen op de verpakking . giet de macaroni af . pel en snijd ondertussen de ui fijn . verhit de olijfolie in een diepe pan . bak hierin de ui 3 min . voeg de hamblokjes toe en bak ze 1 min . mee . roer de bertolli pastasaus traditioneel toscaans erdoor en breng de saus aan de kook . schep de macaroni door de saus en verwarm alles nog 3 min . verdeel de macaroni over 5 6 warme borden . schep de jong belegen kaas erover en serveer.
384,oosterse asperges uit de wok,"oosterse asperges uit de wok with asperges, conimex wokolie, knoflook, uitjes, gemberwortel, knorr kippenbouillon, kipfilet, cayennepeper, conimex ketjap asin, bieslook","500.0 gram asperges, 2.0 tablespoon conimex wokolie, 1.0 clove knoflook, 2.0 uitjes, 2.0 teaspoon gemberwortel, 1.5 deciliter knorr kippenbouillon, 200.0 gram kipfilet, cayennepeper, 1.0 tablespoon conimex ketjap asin, bieslook","snijd de asperges in stukjes van ca . 2 cm . snijd de kipfilet in stukjes . maak de lente uitjes fijn . rasp de gember . fruit ui en gemberwortel met het teentje geperste knoflook in de wokolie . bak de stukjes kip even mee . schep de asperges erdoor en roerbak het gerecht nog 5 minuten . voeg de kippenbouillon toe en laat dit 5 minuten zachtjes pruttelen tot het vocht wat verdampt is . breng op smaak met een snufje cayennepeper, sojasaus en eventueel wat zout . roer er voor het opdienen wat fijngesneden bieslook door."
5553,sri lankan garlic curry,i never dreamed there was such a thing as garlic curry 2 of my favorite things married in one dish this delicious recipe was taught to us in a cooking lesson at the ella spice garden by the wonderful chandika madusanka . this version is fairly mild so adjust seasoning to taste.,"40.0 clove garlic, 1.0 red onion, 1.0 green chili, 2.0 slice pandan leaf, 10.0 curry leaves, 1.0 inch cinnamon stick, 0.5 teaspoon salt, 0.2 teaspoon turmeric powder, 1.0 tablespoon neutral oil, 0.5 teaspoon curry powder, 1.2 cup coconut milk","in a bowl add salt and turmeric to garlic and stir to combine heat oil in a saucepan on high heat until it smokes add spices and onion and quick fry until onion is golden reduce heat to medium, add garlic mixture, and mix well add curry powder and mix add coconut milk cover and cook for 20 minutes, stirring every 5 minutes turn off heat when the curry has become thick"
5647,"lasagne met gehakt, aubergine en mozzarella","de lekkerste lasagne van italie met rundergehakt, aubergine, mozzarella en natuurlijk knorr wereldgerecht italiaanse lasagne bolognese . maak alles van te voren klaar en zet deze lasagne in de oven wanneer het jou goed uitkomt.","2.0 aubergines, 1.0 mozzarella, 300.0 gram rundergehakt, volle melk, 1.0 packet knorr wereldgerecht italiaanse lasagne bolognese","verwarm de oven voor tot 200degc . snijd de aubergines in blokjes en de mozzarella in dunne plakjes . bak in een koekenpan het rundergehakt zonder olie of margarine rul en bruin . roerbak vervolgens de aubergineblokjes 4 minuten op hoog vuur mee . roer de halfvolle melk, 250 ml water en de sausmix uit het knorr wereldgerecht italiaanse lasagne bolognese xl pakket erdoor . breng het aan de kook en laat het 2 3 minuten zachtjes doorkoken . de saus blijft dun omdat straks in de oven de lasagnebladen er nog vocht aan zullen onttrekken . vet een ovenschaal in en maak laagjes van de lasagnebladeren en de saus . begin en eindig met een laagje saus . leg er als laatste de plakken mozzarella op . bak de lasagne in de oven in 30 40 minuten gaar."
4614,pretzel challah,"how to make yummy pretzel challah bread . tastes like a soft pretzel, fluffy egg dough with a beautiful braided challah shape . kosher, pareve","3/4 cup warm water, 2 1/4 tsp active dry yeast, 1 tbsp white sugar, 1 tbsp vegetable oil, 1 1/4 tsp salt, 1 large egg, 2 3 cups flour, 4 quarts water, 1/2 cup baking soda, 1/2 cup dark brown sugar, corn meal for dusting the baking sheet, kosher or coarse salt for dusting, 2 tbsp melted butter or margarine, 1 large egg yolk, 1 tbsp cold water, 1/4 tsp white sugar, 1/4 tsp salt","add 3/4 cup warm not hot water, 1 tbsp white sugar, and yeast into a large bowl, whisk till combined . let mixture rest for 10 minutes . the yeast should have activated, meaning it will look expanded and foamy . if it doesn't, your yeast may have expired, which means your bread won't rise go buy some fresh yeast whisk in canola oil, salt, and egg and beat till well combined . begin adding the flour to the bowl by half cupfuls, stirring with a large spoon each time flour is added . when mixture becomes too thick to stir, use your hands to knead . continue to add flour and knead the dough until it's smooth, elastic, and not sticky . the amount of flour you will need to achieve this texture varies only add flour until the dough feels pliable and ""right.""place a saucepan full of water on the stove to boil . meanwhile, remove the dough from your mixing bowl and wash out the bowl . grease the bowl with vegetable oil . push the dough back into the bottom of the bowl, then flip it over so that both sides are slightly moistened by the oil . cover the bowl with a clean, damp kitchen towel . place the bowl of dough on the middle rack of your oven . take the saucepan full of boiling water and place it below the rack where your dough sits . close the oven, but do not turn it on . the pan of hot water will create a warm, moist environment for your dough to rise . if it's a cold day, you can also heat the oven for 2 3 minutes till it's warm inside not hot . let the dough rise for 1 hour . take the dough bowl out and punch it down several times to remove air pockets.place it back inside the oven and let it rise for 1 hour longer . take the dough out of the oven . flour a smooth surface like a cutting board . punch the dough down into the bowl a few times, then turn the dough out onto the floured surface . knead for a few minutes, adding flour as needed to keep the dough from feeling sticky . now it's time to braid your challah . for challah braiding instructions, click here . i highly recommend you make two small braids with your dough, because later you will have to immerse the braids in boiling water . it is easiest to manage two small braids, rather than one large one . for this blog, i made two 4 strand braids, which worked out great . two 3 strand braids will work, as will round challah shapes . i do not recommend making 6 strand braids, it would be difficult with the small amount of dough you're working with . mini challah rolls are fun, too line a large cookie sheet with a clean, dry, smooth kitchen towel . place the braids on top of the towel and let them rise for 30 45 minutes longer . you'll know the dough is ready to bake when you press your finger into the dough and the indentation stays, rather than bouncing back . preheat oven to 350 degrees f . bring 4 quarts of water to boil in an oval saucepan or roasting pan on your stovetop . the pan should be large, with an opening wide enough to immerse the entire challah . dissolve the baking soda and 1/2 cup brown sugar into the boiling water, using a whisk to break up the baking soda and sugar that settles on the bottom of the pan . careful, the baking soda will fizz up when you add it to the boiling water bring the cookie sheet to the stove area . gently immerse the two braids in the boiling water for 30 seconds . turn them once with a spatula to make sure both sides of the braid are evenly moistened by the boiling water . use the spatulas to carefully remove the braids from the water and place them on the kitchen towel lined cookie sheet . if you prefer, you can immerse the braids one at a time for easier handling . let the soaked braids rest on the kitchen towel for a few minutes while you prepare your egg wash . they will look slightly ""water logged"" and pruney at this point, but don't worry, they'll puff up again when they bake . the kitchen towel will soak up any excess liquid so the bottom of each challah doesn't become soggy.to prepare the egg wash, whisk together the yolk, water, sugar and salt till smooth . line another baking sheet, or two half sheets, with parchment paper or, you can gently remove the challahs from the baking sheet and dry that one, then re use it . sprinkle the parchment paper with a light dusting of cornmeal . pretzel bread is sticky business doubling up with parchment paper and cornmeal is the safest bet to ensure that the challahs don't stick . place the braided challahs onto the parchment paper lined baking sheet s .brush the challahs evenly with a light, thorough coating of the egg wash . dust the challahs with kosher or coarse salt to taste . careful, they can get very salty very fast a thin, even sprinkling will work best.the challah needs to bake for about 30 40 minutes total, but to get the best result the baking should be done in stages . first, set your timer to 15 minutes and put your challah in the oven . after 15 minutes, take the challah out of the oven and coat the center of the braid with another very thin layer of egg wash . this area tends to expand during baking, exposing areas that will turn white unless they are coated with egg wash . don't lay it on too thick, or the egg will scramble just a thin layer will do it.turn the tray around, so the opposite side is facing front, and put the tray back into the oven . turning the tray helps your challah brown evenly the back of the oven is usually hotter than the front . the challah will need to bake for 15 25 minutes longer . challah is finished when it's a dark golden brown color all the way across . test the bread for doneness by turning it over and tapping on the bottom of the loaf if it makes a hollow sound, it's done . to keep the outer part of the pretzel challah soft and supple, you can brush each challah with a tablespoon of melted butter or margarine as soon as it comes out of the oven if you use butter, it becomes a dairy dish, not pareve . this step is optional.let challah cool slightly on the baking sheet or a wire cooling rack before serving . pretzel challah is best served warm reheat before serving . store it wrapped tightly in plastic wrap or foil to keep it fresh."
5145,summer pasta salad with baby greens,"i love making this mayo less summer pasta salad with arugula, spinach, sun dried tomatoes, capers, fresh shaved parmesan cheese and a splash of balsamic and oil.","3 oz about 4 cups baby arugula and baby spinach mix, 5 oz gluten free or wheat pasta, 1/3 cup sun dried tomatoes, 2 tbsp capers, 2 tbsp balsamic vinegar, 1 1/2 tbsp extra virgin olive oil, salt and fresh pepper to taste, 2 tbsp freshly shaved parmigiano reggiano","boil pasta in salted water according to package directions . when done, drain and rinse under cold water . in a large bowl, combine the pasta, baby greens, sun dried tomatoes, capers, olive oil, vinegar, salt and pepper . toss well then just before serving top with fresh shaved parmesan."
2652,green tea mojito,"green tea mojito with lime juice, mint, lipton pure leaf green tea with honey, white rum","0.5 lime juice, 6.0 mint, 2.0 ounce lipton pure leaf green tea with honey, 1.0 ounce white rum","in highball glass, squeeze lime . add lime and mint, then crush . fill glass with ice and add remaining ingredients."
932,blueberry lavender creme brulee,"a love of creme brulee, fueled by an abundance of bc blueberries and french lavender was the inspiration to create this delicious tasting dish.","3.5 cup heavy cream, 1.5 cup white sugar, 1.0 teaspoon lavender, 0.1 teaspoon vanilla, 8.0 egg yolks, 1.0 cup fresh blueberries","preheat oven to 300 and arrange your jars or ramekins in a large baking pan . add approximately 10 15 blueberries to each jar/ramekin . fill your kettle with water and turn it on . in a saucepan over medium high heat, combine the cream, 3/4 cup of sugar, lavender, and vanilla . stir to dissolve the sugar and heat cream to just under boiling bubbles form around outside edge of cream . remove from heat and set aside . while cream is heating whisk egg yolks together in a large bowl . gradually add about 1/4 cup of the hot cream to the yolks, whisking constantly, then slowly add the remaining hot cream and stir to fully combine . strain the custard through a sieve into a clean bowl . carefully ladle or pour the custard into the jars/ramekins, filling them about 2/3 rds full . place the baking pan on oven rack and carefully pour enough hot water into the pan to come halfway up the sides of the jars/ramekins . bake until the edges have set but the center still jiggles when the ramekin is gently shaken, about 40 to 45 minutes . remove from the water bath and let cool on a rack for 30 minutes . put lids on jars or cover ramekins with wrap/foil and place in fridge until ready to serve . when ready to eat sprinkle 1 2 tbsp of sugar evenly on each custard jar . use a kitchen blowtorch or the broiler to evenly melt and caramelize the sugar . serve immediately."
3519,cauliflower tortillas,these grain free tortillas are a great alternative to use in mexican dishes when looking to cut carbs and add veggies to your diet.,"6.0 ounce riced cauliflower, 3.0 large egg whites, 1.0 teaspoon salt, nonstick cooking spray","preheat the oven to 400degf . line a baking sheet with parchment paper . set aside . place the riced cauliflower in a microwave safe bowl and cover with a damp paper towel . microwave on high until cauliflower is tender, 2 1/2 3 minutes . wearing oven mitts bowl will be very hot, carefully remove from microwave and discard paper towel . set aside to cool for 10 minutes . transfer the cauliflower to the center of a large sheet of cheesecloth . working over a sink, squeeze out as much water from cauliflower as possible . transfer cauliflower to a large mixing bowl and add the egg whites and salt . stir until mixture is well combined . spoon the cauliflower in equal mounds 6 per batch on the prepared baking sheet . using dampened fingertips, flatten the mounds to a generous 1/8 inch thickness . bake the tortillas on middle rack of oven until they appear dry on top, about 15 minutes . open the oven and use a large spatula to flip each tortilla . continue baking until firm, 10 15 minutes . check to see that tortillas are done . remove from oven or add time as needed . just before serving, spray a large skillet with nonstick cooking spray and set it over medium high heat . working in batches of two, sear the tortillas until lightly browned, 1 2 minutes per side . serve tortillas while warm."
